Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,
Australia,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17380.88169,17835.35808,18253.58163,19215.96059,20170.5254,21038.66679,22132.1929,23124.96391,24378.24531,25485.39145,26541.66532,27645.81403,29032.49096,30121.81842,31763.79609,33036.58348,34846.71563,36653.84172,37532.99904,40312.39512,39374.6321,42025.46458,42866.60433,45936.04931,46914.38671,46292.09544,47289.28591,48418.55842,50251.33534,52746.71829,54064.07947,57406.17876,65388.21596,,
Austria,AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19459.18538,20602.88423,21278.10084,21717.38271,22626.69994,23681.21233,24552.02648,25422.02329,26674.8408,27606.48303,29379.7423,29711.58386,31178.69333,32146.01529,33774.78739,35013.71404,37661.92242,39439.6039,41316.22518,40916.91974,42002.15714,44452.73275,46457.34578,47922.04912,48799.71547,49865.90394,52684.01711,54172.98679,56937.94428,60574.6271,58610.83436,63421.20359,70975.72063,,
Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5253.446608,5321.810994,4149.746606,3217.651495,2603.601929,2317.590695,2366.638154,2522.628371,2779.615527,3000.925057,3381.66621,3770.852287,4159.940563,4639.794426,5159.859411,6740.424063,9243.497646,11732.84149,12969.20038,13972.59478,14678.77374,14804.57445,15994.14665,17267.51189,17563.61225,15075.27263,14535.80202,14315.92964,15282.99952,16675.31794,15163.57033,20111.3757,22512.2817,,
Burundi,BDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609.3716475,648.3308671,652.5122225,647.4770436,632.4249539,559.8362994,524.6810684,525.8317273,546.7198398,535.9623371,532.4259199,542.0301902,559.1123373,545.7755393,566.0916315,567.7007004,595.2055657,609.5935955,625.2437396,620.8967338,630.358193,646.1031275,656.8448261,706.9897821,745.4026654,821.2462547,795.7859958,785.2333947,777.4469722,804.1653441,812.055173,864.2807328,917.5034391,,
Belgium,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18675.31219,19587.85535,20258.54745,20459.18915,21504.01177,22431.45936,22736.75807,23727.89752,24368.75741,25440.84119,27788.09088,28796.57958,30282.28865,30934.58265,32063.98269,33177.89095,35258.98506,36799.53187,37883.33194,37748.39943,39833.18405,40942.37271,42290.76205,43671.11959,44929.68559,46200.90445,48597.39998,50442.27054,52530.56208,56621.54176,55756.66825,62107.06993,68253.33207,,
Benin,BEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1220.214582,1275.135741,1302.24048,1349.490345,1354.590804,1436.737626,1487.598078,1554.145493,1584.965406,1642.173165,1724.54671,1802.324598,1858.766765,1902.502923,1979.292899,2011.396677,2090.284255,2210.79271,2294.869878,2294.602793,2302.687791,2350.356452,2435.948513,2609.135759,2774.858953,2832.004174,2952.513683,2996.13599,3075.235868,3260.768536,3354.179971,3575.311487,3957.950014,,
Burkina Faso,BFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568.6301463,625.1781954,625.3228272,646.0470734,651.8797993,685.7886884,755.7081414,796.5891492,840.9844308,889.501251,899.5848205,951.314407,977.6685185,1041.898563,1083.249313,1176.357297,1248.873042,1295.467117,1356.372196,1364.895645,1454.578747,1536.808944,1577.216925,1648.388278,1666.768864,1696.953579,1887.55372,2048.431462,2077.956121,2233.261555,2375.862852,2467.67804,2620.50015,,
Bangladesh,BGD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,979.9480034,1028.28859,1088.740137,1144.970832,1191.835185,1255.48763,1313.073938,1370.959718,1431.061897,1490.19028,1574.33157,1659.711356,1717.970062,1803.138153,1916.452038,2074.011585,2253.209817,2451.542213,2625.406359,2751.217878,2906.05192,3119.929973,3501.555574,3751.061086,4023.541146,4253.687699,4608.574652,4894.442408,5484.762923,6025.087962,6596.044598,7366.489971,8354.69223,,
Bulgaria,BGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7545.531387,7212.992912,6914.716178,7029.690063,7335.20045,7737.736408,6846.440184,5749.357023,6177.632446,5807.791822,6422.779427,6961.062615,7937.378269,8417.454559,9201.71602,10291.42387,11408.08873,12822.26646,14346.94115,14180.7101,14955.89513,15747.39237,16327.24932,16649.37263,17616.38795,18385.98036,20065.61871,21457.90199,23005.92506,25527.26356,25736.21821,29406.57959,35469.87165,,
Bahrain,BHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25731.16492,28594.09183,30129.96237,33643.63046,33149.57425,34045.39428,34962.95671,35548.65614,36559.27645,37570.91678,39360.43209,40186.94531,41161.56258,42900.81335,44006.71276,44780.11567,45651.59194,47380.16645,48078.84387,46708.73586,47929.44346,49960.26787,53846.8814,53808.70589,52272.91246,46134.64547,45569.9674,49303.99184,50198.64094,53712.14852,51439.20376,54351.83608,60634.96044,,
"Bahamas, The",BHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20525.45338,19936.04426,19198.94919,19290.97322,19920.12349,20834.56613,21722.05001,22003.22063,22914.25222,24518.3605,25732.9965,26625.89831,27408.45,27229.95641,27829.52484,29274.64569,30511.05209,31344.19623,30761.92722,29242.29052,29629.25251,30053.67112,30564.7922,29604.31432,30774.50196,31097.21713,31292.98683,33027.59599,33977.65814,34654.49176,24938.69303,28908.8971,35211.0573,,
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,943.2416397,1166.989741,2155.146708,2844.337345,3270.673181,3601.951584,4127.603805,4291.22947,4743.326355,4911.700284,5405.697125,5959.024831,6879.306942,7697.021501,8595.84805,8698.188995,9087.644752,9757.991528,10109.39074,10788.27786,11148.38783,11825.99325,12869.75194,13582.1737,14801.22216,16354.49014,16276.04664,18379.5525,20950.19985,,
Belarus,BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5226.139652,5335.578799,4922.457217,4645.893572,4194.881095,3849.897232,4043.749903,4601.503085,5066.942834,5337.015841,5801.758126,6244.747743,6704.592281,7369.845904,8491.894834,9647.12118,11006.4559,12332.50292,13898.99968,14050.57155,15361.8317,16563.20141,18114.75086,19014.05297,19037.82095,18133.56963,17832.47789,18413.71274,20026.03067,22301.57669,24872.3399,27611.18011,28394.30515,,
Belize,BLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4460.736216,5047.703235,5702.919088,6072.681535,6068.637377,6083.620027,6075.912802,6226.488985,6315.115279,6771.940936,7524.977561,7828.2066,8121.277157,8806.397609,9192.028333,9405.616622,9840.065279,10142.56911,9895.089504,9645.413767,9638.917829,9588.608909,9145.726881,9378.916507,9340.362116,9451.563574,9336.419937,9086.911909,9479.911474,10436.33353,9540.67115,11559.8906,13280.56082,,
Bermuda,BMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34870.74775,34955.55828,35990.57811,37749.20837,38518.41744,40763.38661,42317.92417,44753.95873,46678.6018,48664.53995,53921.77368,58484.1524,58138.39981,60908.03971,63578.19228,66239.46679,71656.72358,75627.24753,75193.34639,71022.30785,70627.82219,69998.84342,67919.69565,69949.53284,70210.32045,73879.48585,79035.73179,85285.24921,85861.19114,91263.4856,85795.3586,91508.83038,101187.0316,,
Bolivia,BOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2294.728914,2446.015661,2491.526708,2606.575801,2732.442114,2865.227046,2988.572101,3132.592373,3267.226137,3267.432226,3364.024366,3436.37487,3514.591376,3617.40341,3802.810904,4025.109046,4273.038123,4509.210554,4794.6037,4902.610577,5079.382721,5363.987903,5837.071101,6552.414616,7003.241839,7103.431756,7492.284709,8442.585295,8876.584719,9091.927689,8210.70291,9342.971845,10238.78312,,
Brazil,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6617.944703,6793.807941,6797.153941,7183.895866,7644.218602,8008.05893,8208.219593,8504.681479,8503.697887,8541.710725,8994.743062,9202.876484,9510.823883,9693.555482,10407.83935,10954.86026,11614.49854,12522.51594,13281.07439,13222.74888,14254.51977,14989.15778,14962.36844,15469.53539,15564.801,14567.70606,14057.31325,14293.60464,15165.06315,15741.4785,15759.07823,17450.50865,19132.8115,,
Barbados,BRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9648.120217,9565.672132,9198.006658,9462.233514,9831.61099,10216.85881,10797.46556,11485.46018,12028.68251,12214.55429,13022.78415,12965.91796,13217.98748,13718.33759,14231.91706,15203.75684,16562.12509,17298.19957,17667.48137,16814.08293,16573.82236,16744.36654,15742.09358,15781.20525,15622.36569,15991.2391,16422.18632,16252.68839,16900.40406,17374.44632,14561.25685,14686.21993,17474.89402,,
Brunei Darussalam,BRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55168.25088,57099.02565,59512.9402,59542.96976,61175.54851,63693.09165,65179.13607,63863.7108,62830.2713,64276.50059,66212.60982,68169.50228,70522.90358,72627.3339,73618.9315,74921.41361,79312.33331,80302.21993,79040.28831,76993.47462,78784.82722,82300.65605,87024.9382,83136.85527,81243.899,62823.11662,56889.41034,62015.43312,65679.43108,70087.0385,70685.18631,79364.09456,82893.16979,,
